MMID,Short_Title,Keywords,Author,Institution,Dataset_Available,Subject_name,Area,Region,Location,Start_Year,End_Year,Data_Time_Points,Unit_Type,Temporal_Resolution,Spatial_Resolution,Dataset_Title,Compilation_Title,Publication_Year,Reference,Available_Metadata,Metadata_name,User_Contact,Institution_Type,Research_Fund,Research_Field,SE_Interaction,Data_Uncertanty,Time_Series,Notes
13,Ship Trackers For Curvina Fishing in  San Felipe; Upper Gulf of California,Curvina; Puntos Agregados;  San Felipe (SF); Alto Golfo,NA,GoC,1,Curvina,Pacific,Gulf of California,Georeferenced,,,na,Values,Seconds,Georeferenced,shp_trackers/Aggre_SF_Curvina.zip,,,http://datamares.ucsd.edu/en/metadata/view/358,NO,,Juliano Palacios; jepa88@gmail.com,Academic,,Fisheries,Benefits,,,
14,Ship Trackers For Chano Fishing in  San Felipe; Upper Gulf of California,Chano;  Puntos Agregados;  San Felipe (SF); Alto Golfo,NA,GoC,1,Chano,Pacific,Gulf of California,Georeferenced,,,na,Values,Seconds,Georeferenced,shp_trackers/Aggre_SF_chano.zip,,,http://datamares.ucsd.edu/en/metadata/view/359,NO,,Juliano Palacios; jepa88@gmail.com,Academic,,Fisheries,Benefits,,,
15,Ship Trackers For Curvina Fishing in Golfo de Santa Clara; Upper Gulf of California,Curvina; Puntos Agregados;  Golfoo de Santa Clara (GSC); Alto Golfo,NA,GoC,1,Curvina,Pacific,Gulf of California,Georeferenced,,,na,Values,Seconds,Georeferenced,shp_trackers/Aggre_GSC_curvina.zip,,,http://datamares.ucsd.edu/en/metadata/view/358,NO,,Juliano Palacios; jepa88@gmail.com,Academic,,Fisheries,Benefits,,,
16,Ship Trackers For Chano Fishing in Golfo de Santa Clara; Upper Gulf of California,Chano; Puntos Agregados;  Golfoo de Santa Clara (GSC); Alto Golfo,NA,GoC,1,Chano,Pacific,Gulf of California,Georeferenced,,,na,Values,Seconds,Georeferenced,shp_trackers/Aggre_GSC_chano.zip,,,http://datamares.ucsd.edu/en/metadata/view/353,NO,,Juliano Palacios; jepa88@gmail.com,Academic,,Fisheries,Benefits,,,
17,Ship Trackers For Shrimp Fishing in Golfo de Santa Clara; Upper Gulf of California,Camaron Points;  Golfo de Santa Clara (GSC); Alto Golfo,NA,GoC,1,Camaron,Pacific,Gulf of California,Georeferenced,,,na,Values,Seconds,Georeferenced,shp_trackers/Aggre_GSC_shrimp.zip,,,http://datamares.ucsd.edu/en/metadata/view/355,NO,,Juliano Palacios; jepa88@gmail.com,Academic,,Fisheries,Benefits,,,
18,Ship Trackers For Curvina Fishing in Golfo de Santa Clara; Upper Gulf of California,Curvina Points;  Golfo de Santa Clara (GSC); Alto Golfo,NA,GoC,1,Camaron,Pacific,Gulf of California,Georeferenced,,,na,Values,Seconds,Georeferenced,shp_trackers/Aggre_GSC_curvina.zip,,,http://datamares.ucsd.edu/en/metadata/view/354,NO,,Juliano Palacios; jepa88@gmail.com,Academic,,Fisheries,Benefits,,,
19,Historic Catch for Abulon in Mexico,Abulon; Captura; Mexico,SAGARPA,SAGARPA;CONAPeSCA,1,Abulon,National,na,na,2004,2013,10,Weight,Year,national,Serie Historica de la Produccion de Abulon (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
20,Historic Catch for Almeja in Mexico,Almeja; Captura; Mexico,SAGARPA,SAGARPA;CONAPeSCA,1,Almeja,National,na,na,2004,2013,10,Weight,Year,national,Serie Historica de la Produccion de Almeja (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
21,Historic Catch for Tunidos in Mexico,Tunidos; Captura; Mexico,SAGARPA,SAGARPA;CONAPeSCA,1,Tunidos,National,na,na,2004,2013,10,Weight,Year,national,Serie Historica de la Produccion de Tunidos (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
22,Historic Catch for Calamar in Mexico,Calamar; Captura; Mexico,SAGARPA,SAGARPA;CONAPeSCA,1,Calamar,National,na,na,2004,2013,10,Weight,Year,national,Serie Historica de la Produccion de Calamar (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
23,Historic Oppen Sea Catch for Shrimp in Mexico,Camaron; Captura; Mexico; Oppen Sea,SAGARPA,SAGARPA;CONAPeSCA,1,Camaron,National,na,na,2004,2013,10,Weight,Year,national,Serie Historica de la Produccion de Shrimp (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
24,Historic Aquaculture production for Shrimp in Mexico,Camaron; Captura; Mexico;  Acuacultura,SAGARPA,SAGARPA;CONAPeSCA,1,Camaron,Freshwater/Terrestrial,na,na,2004,2013,10,Weight,Year,national,Serie Historica de la Produccion de Shrimp (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
25,Historic  Bay Catch for Shrimp in Mexico,Camaron; Captura; Mexico; Bays,SAGARPA,SAGARPA;CONAPeSCA,1,Camaron,National,na,na,2004,2013,10,Weight,Year,national,Serie Historica de la Produccion de Shrimp (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
26,Historic Catch for Wild Carpa in Mexico,Carpa; Captura; Mexico;  Wild,SAGARPA,SAGARPA;CONAPeSCA,1,Carpa,Freshwater/Terrestrial,na,na,2004,2013,10,Weight,Year,national,Serie Historica de la Produccion de Carpa (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
27,Historic production of Aquaculture Carpa in Mexico,Carpa; Acuacultura; Mexico,SAGARPA,SAGARPA;CONAPeSCA,1,Carpa,Freshwater/Terrestrial,na,na,2004,2013,10,Weight,Year,national,Serie Historica de la Produccion de Carpa (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
28,Historic Catch for erizo in Mexico,erizo; Captura; Mexico,SAGARPA,SAGARPA;CONAPeSCA,1,erizo,National,na,na,2004,2013,10,Weight,Year,national,Serie Historica de la Produccion de erizo (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
29,Historic Catch for Guachinango in Mexico,Guachinango; Captura; Mexico,SAGARPA,SAGARPA;CONAPeSCA,1,Guachinango,National,na,na,2004,2013,10,Weight,Year,national,Serie Historica de la Produccion de Guachinango (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
30,Historic Catch for Jaiba in Mexico,Jaiba; Captura; Mexico,SAGARPA,SAGARPA;CONAPeSCA,1,Jaiba,National,na,na,2004,2013,10,Weight,Year,national,Serie Historica de la Produccion de Jaiba (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
31,Historic Catch for Langosta in Mexico,Langosta; Captura; Mexico,SAGARPA,SAGARPA;CONAPeSCA,1,Langosta,National,na,na,2004,2013,10,Weight,Year,national,Serie Historica de la Produccion de Langosta (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
32,Historic Catch for Langostino in Mexico,Langostino; Captura; Mexico,SAGARPA,SAGARPA;CONAPeSCA,1,Langostino,National,na,na,2004,2013,10,Weight,Year,national,Serie Historica de la Produccion de Langostino (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
33,Historic Catch for Lisa in Mexico,Lisa; Captura; Mexico,SAGARPA,SAGARPA;CONAPeSCA,1,Lisa,National,na,na,2004,2013,10,Weight,Year,national,Serie Historica de la Produccion de Lisa (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
34,Historic Catch for Mero in Mexico,Mero; Captura; Mexico,SAGARPA,SAGARPA;CONAPeSCA,1,Mero,National,na,na,2004,2013,10,Weight,Year,national,Serie Historica de la Produccion de Mero (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
35,Historic Catch for Wild Mojarra in Mexico,Mojarra; Captura; Mexico;  Wild,SAGARPA,SAGARPA;CONAPeSCA,1,Mojarra,Freshwater/Terrestrial,na,na,2004,2013,10,Weight,Year,national,Serie Historica de la Produccion de Mojarra (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
36,Historic production of Aquaculture Mojarra in Mexico,Mojarra; Acuacultura; Mexico,SAGARPA,SAGARPA;CONAPeSCA,1,Mojarra,Freshwater/Terrestrial,na,na,2004,2013,10,Weight,Year,national,Serie Historica de la Produccion de Mojarra (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
37,Historic Catch for Ostion in Mexico,Ostion; Captura; Mexico,SAGARPA,SAGARPA;CONAPeSCA,1,Ostion,National,na,na,2004,2013,10,Weight,Year,national,Serie Historica de la Produccion de Ostion (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
38,Historic Catch for Pulpo in Mexico,Pulpo; Captura; Mexico,SAGARPA,SAGARPA;CONAPeSCA,1,Pulpo,National,na,na,2004,2013,10,Weight,Year,national,Serie Historica de la Produccion de Pulpo (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
39,Historic Catch for Robalo in Mexico,Robalo; Captura; Mexico,SAGARPA,SAGARPA;CONAPeSCA,1,Robalo,National,na,na,2004,2013,10,Weight,Year,national,Serie Historica de la Produccion de Robalo (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
40,Historic Catch for Sardina in Mexico,Sardina; Captura; Mexico,SAGARPA,SAGARPA;CONAPeSCA,1,Sardina,National,na,na,2004,2013,10,Weight,Year,national,Serie Historica de la Produccion de Sardina (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
41,Historic Catch for Sierra in Mexico,Sierra; Captura; Mexico,SAGARPA,SAGARPA;CONAPeSCA,1,Sierra,National,na,na,2004,2013,10,Weight,Year,national,Serie Historica de la Produccion de Sierra (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
42,Historic Catch for Tiburon;Cazon in Mexico,Tiburon; Cazon; Captura; Mexico,SAGARPA,SAGARPA;CONAPeSCA,1,Tiburon;Cazon,National,na,na,2004,2013,10,Weight,Year,national,Serie Historica de la Produccion de Tiburon;Cazon (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
43,Historic Catch for Trucha in Mexico,Trucha; Captura; Mexico,SAGARPA,SAGARPA;CONAPeSCA,1,Trucha,Freshwater/Terrestrial,na,na,2004,2013,10,Weight,Year,national,Serie Historica de la Produccion de Trucha (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
44,Historic Catch for Aguascalientes,Aguascalientes; Captura,SAGARPA,SAGARPA;CONAPeSCA,1,Aguascalientes,Freshwater/Terrestrial,Freshwater/Terrestrial,Aguascalientes,2004,2013,10,Weight,Year,State,Aguascalientes: Serie Historica de la Produccion Pesquera de la entidad (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
45,Historic Catch for Baja California,BC; Captura,SAGARPA,SAGARPA;CONAPeSCA,1,Baja California,Pacific,Gulf of California,Baja California,2004,2013,10,Weight,Year,State,Baja California: Serie Historica de la Produccion Pesquera de la entidad (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
46,Historic Catch for Baja California Sur,BCS; Captura,SAGARPA,SAGARPA;CONAPeSCA,1,Baja California Sur,Pacific,Gulf of California,Baja California Sur,2004,2013,10,Weight,Year,State,Baja California Sur: Serie Historica de la Produccion Pesquera de la entidad (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
47,Historic Catch for Campeche,Campeche; Captura,SAGARPA,SAGARPA;CONAPeSCA,1,Campeche,Atlantic,Yucatan Peninsula,Campeche,2004,2013,10,Weight,Year,State,Campeche: Serie Historica de la Produccion Pesquera de la entidad (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
48,Historic Catch for Coahuila,Coahuila; Captura,SAGARPA,SAGARPA;CONAPeSCA,1,Coahuila,Freshwater/Terrestrial,Freshwater/Terrestrial,Coahuila,2004,2013,10,Weight,Year,State,Coahuila: Serie Historica de la Produccion Pesquera de la entidad (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
49,Historic Catch for Colima,Colima; Captura,SAGARPA,SAGARPA;CONAPeSCA,1,Colima,Pacific,South Pacific,Colima,2004,2013,10,Weight,Year,State,Colima: Serie Historica de la Produccion Pesquera de la entidad (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
50,Historic Catch for Chiapas,Chiapas; Captura,SAGARPA,SAGARPA;CONAPeSCA,1,Chiapas,Pacific,Gulf of Tehantepec,Chiapas,2004,2013,10,Weight,Year,State,Chiapas: Serie Historica de la Produccion Pesquera de la entidad (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
51,Historic Catch for Chihuahua,Chihuahua; Captura,SAGARPA,SAGARPA;CONAPeSCA,1,Chihuahua,Freshwater/Terrestrial,Freshwater/Terrestrial,Chihuahua,2004,2013,10,Weight,Year,State,Chihuahua: Serie Historica de la Produccion Pesquera de la entidad (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
52,Historic Catch for Durango,Durango; Captura,SAGARPA,SAGARPA;CONAPeSCA,1,Durango,Freshwater/Terrestrial,Freshwater/Terrestrial,Durango,2004,2013,10,Weight,Year,State,Durango: Serie Historica de la Produccion Pesquera de la entidad (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
53,Historic Catch for Guanajuato,Guanajuato; Captura,SAGARPA,SAGARPA;CONAPeSCA,1,Guanajuato,Freshwater/Terrestrial,Freshwater/Terrestrial,Guanajuato,2004,2013,10,Weight,Year,State,Guanajuato: Serie Historica de la Produccion Pesquera de la entidad (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
54,Historic Catch for Guerrero,Guerrero; Captura,SAGARPA,SAGARPA;CONAPeSCA,1,Guerrero,Pacific,South Pacific,Guerrero,2004,2013,10,Weight,Year,State,Guerrero: Serie Historica de la Produccion Pesquera de la entidad (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
55,Historic Catch for Hidalgo,Hidalgo; Captura,SAGARPA,SAGARPA;CONAPeSCA,1,Hidalgo,Freshwater/Terrestrial,Freshwater/Terrestrial,Hidalgo,2004,2013,10,Weight,Year,State,Hidalgo: Serie Historica de la Produccion Pesquera de la entidad (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
56,Historic Catch for Jalisco,Jalisco; Captura,SAGARPA,SAGARPA;CONAPeSCA,1,Jalisco,Pacific,South Pacific,Jalisco,2004,2013,10,Weight,Year,State,Jalisco: Serie Historica de la Produccion Pesquera de la entidad (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
57,Historic Catch for Mexico (DF),Mexico (DF); Captura,SAGARPA,SAGARPA;CONAPeSCA,1,Mexico(DF),Freshwater/Terrestrial,Freshwater/Terrestrial,Mexico(DF),2004,2013,10,Weight,Year,State,Mexico (DF): Serie Historica de la Produccion Pesquera de la entidad (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
58,Historic Catch for Michoacan,Michoacan; Captura,SAGARPA,SAGARPA;CONAPeSCA,1,Michoacan,Freshwater/Terrestrial,Freshwater/Terrestrial,Michoacan,2004,2013,10,Weight,Year,State,Michoacan: Serie Historica de la Produccion Pesquera de la entidad (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
59,Historic Catch for Morelos,Morelos; Captura,SAGARPA,SAGARPA;CONAPeSCA,1,Morelos,Freshwater/Terrestrial,Freshwater/Terrestrial,Morelos,2004,2013,10,Weight,Year,State,Morelos: Serie Historica de la Produccion Pesquera de la entidad (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
