MMID,Short_Title,Keywords,Author,Institution,Dataset_Available,Subject_name,Area,Region,Location,Start_Year,End_Year,Data_Time_Points,Unit_Type,Temporal_Resolution,Spatial_Resolution,Dataset_Title,Compilation_Title,Publication_Year,Reference,Available_Metadata,Metadata_name,User_Contact,Institution_Type,Research_Fund,Research_Field,SE_Interaction,Data_Uncertanty,Time_Series,Notes,Lat,Long
28,Historic Catch for Erizo in Mexico,Erizo; Captura; Mexico,SAGARPA,SAGARPA;CONAPeSCA,1,Erizo,National,NA,NA,2004,2013,10,Weight,Year,National,Serie Historica de la Produccion de Erizo (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,NA,1,NA,NA,NA
29,Historic Catch for Guachinango in Mexico,Guachinango; Captura; Mexico,SAGARPA,SAGARPA;CONAPeSCA,1,Guachinango,National,NA,NA,2004,2013,10,Weight,Year,National,Serie Historica de la Produccion de Guachinango (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,NA,1,NA,NA,NA
30,Historic Catch for Jaiba in Mexico,Jaiba; Captura; Mexico,SAGARPA,SAGARPA;CONAPeSCA,1,Jaiba,National,NA,NA,2004,2013,10,Weight,Year,National,Serie Historica de la Produccion de Jaiba (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,NA,1,NA,NA,NA
31,Historic Catch for Langosta in Mexico,Langosta; Captura; Mexico,SAGARPA,SAGARPA;CONAPeSCA,1,Langosta,National,NA,NA,2004,2013,10,Weight,Year,National,Serie Historica de la Produccion de Langosta (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,NA,1,NA,NA,NA
32,Historic Catch for Langostino in Mexico,Langostino; Captura; Mexico,SAGARPA,SAGARPA;CONAPeSCA,1,Langostino,National,NA,NA,2004,2013,10,Weight,Year,National,Serie Historica de la Produccion de Langostino (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,NA,1,NA,NA,NA
33,Historic Catch for Lisa in Mexico,Lisa; Captura; Mexico,SAGARPA,SAGARPA;CONAPeSCA,1,Lisa,National,NA,NA,2004,2013,10,Weight,Year,National,Serie Historica de la Produccion de Lisa (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,NA,1,NA,NA,NA
34,Historic Catch for Mero in Mexico,Mero; Captura; Mexico,SAGARPA,SAGARPA;CONAPeSCA,1,Mero,National,NA,NA,2004,2013,10,Weight,Year,National,Serie Historica de la Produccion de Mero (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,NA,1,NA,NA,NA
35,Historic Catch for Wild Mojarra in Mexico,Mojarra; Captura; Mexico;  Wild,SAGARPA,SAGARPA;CONAPeSCA,1,Mojarra,National,Freshwater/Terrestrial,NA,2004,2013,10,Weight,Year,National,Serie Historica de la Produccion de Mojarra (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,NA,1,NA,NA,NA
36,Historic production of Aquaculture Mojarra in Mexico,Mojarra; Acuacultura; Mexico,SAGARPA,SAGARPA;CONAPeSCA,1,Mojarra,National,Freshwater/Terrestrial,NA,2004,2013,10,Weight,Year,National,Serie Historica de la Produccion de Mojarra (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,NA,1,NA,NA,NA
37,Historic Catch for Ostion in Mexico,Ostion; Captura; Mexico,SAGARPA,SAGARPA;CONAPeSCA,1,Ostion,National,NA,NA,2004,2013,10,Weight,Year,National,Serie Historica de la Produccion de Ostion (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,NA,1,NA,NA,NA
38,Historic Catch for Pulpo in Mexico,Pulpo; Captura; Mexico,SAGARPA,SAGARPA;CONAPeSCA,1,Pulpo,National,NA,NA,2004,2013,10,Weight,Year,National,Serie Historica de la Produccion de Pulpo (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,NA,1,NA,NA,NA
39,Historic Catch for Robalo in Mexico,Robalo; Captura; Mexico,SAGARPA,SAGARPA;CONAPeSCA,1,Robalo,National,NA,NA,2004,2013,10,Weight,Year,National,Serie Historica de la Produccion de Robalo (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,NA,1,NA,NA,NA
40,Historic Catch for Sardina in Mexico,Sardina; Captura; Mexico,SAGARPA,SAGARPA;CONAPeSCA,1,Sardina,National,NA,NA,2004,2013,10,Weight,Year,National,Serie Historica de la Produccion de Sardina (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,NA,1,NA,NA,NA
41,Historic Catch for Sierra in Mexico,Sierra; Captura; Mexico,SAGARPA,SAGARPA;CONAPeSCA,1,Sierra,National,NA,NA,2004,2013,10,Weight,Year,National,Serie Historica de la Produccion de Sierra (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,NA,1,NA,NA,NA
42,Historic Catch for Tiburon;Cazon in Mexico,Tiburon; Cazon; Captura; Mexico,SAGARPA,SAGARPA;CONAPeSCA,1,Tiburon;Cazon,National,NA,NA,2004,2013,10,Weight,Year,National,Serie Historica de la Produccion de Tiburon;Cazon (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,NA,1,NA,NA,NA
43,Historic Catch for Trucha in Mexico,Trucha; Captura; Mexico,SAGARPA,SAGARPA;CONAPeSCA,1,Trucha,National,Freshwater/Terrestrial,NA,2004,2013,10,Weight,Year,National,Serie Historica de la Produccion de Trucha (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,NA,1,NA,NA,NA
44,Historic Catch for Aguascalientes,Aguascalientes; Captura,SAGARPA,SAGARPA;CONAPeSCA,1,Aguascalientes,Freshwater/Terrestrial,Freshwater/Terrestrial,Aguascalientes,2004,2013,10,Weight,Year,State,Aguascalientes: Serie Historica de la Produccion Pesquera de la entidad (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,NA,1,NA,NA,NA
45,Historic Catch for Baja California,BC; Captura,SAGARPA,SAGARPA;CONAPeSCA,1,Baja California,Pacific,Gulf of California,Baja California,2004,2013,10,Weight,Year,State,Baja California: Serie Historica de la Produccion Pesquera de la entidad (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,NA,1,NA,NA,NA
46,Historic Catch for Baja California Sur,BCS; Captura,SAGARPA,SAGARPA;CONAPeSCA,1,Baja California Sur,Pacific,Gulf of California,Baja California Sur,2004,2013,10,Weight,Year,State,Baja California Sur: Serie Historica de la Produccion Pesquera de la entidad (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,NA,1,NA,NA,NA
47,Historic Catch for Campeche,Campeche; Captura,SAGARPA,SAGARPA;CONAPeSCA,1,Campeche,Atlantic,Yucatan Peninsula,Campeche,2004,2013,10,Weight,Year,State,Campeche: Serie Historica de la Produccion Pesquera de la entidad (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,NA,1,NA,NA,NA
48,Historic Catch for Coahuila,Coahuila; Captura,SAGARPA,SAGARPA;CONAPeSCA,1,Coahuila,Freshwater/Terrestrial,Freshwater/Terrestrial,Coahuila,2004,2013,10,Weight,Year,State,Coahuila: Serie Historica de la Produccion Pesquera de la entidad (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,NA,1,NA,NA,NA
49,Historic Catch for Colima,Colima; Captura,SAGARPA,SAGARPA;CONAPeSCA,1,Colima,Pacific,South Pacific,Colima,2004,2013,10,Weight,Year,State,Colima: Serie Historica de la Produccion Pesquera de la entidad (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,NA,1,NA,NA,NA
50,Historic Catch for Chiapas,Chiapas; Captura,SAGARPA,SAGARPA;CONAPeSCA,1,Chiapas,Pacific,Gulf of Tehantepec,Chiapas,2004,2013,10,Weight,Year,State,Chiapas: Serie Historica de la Produccion Pesquera de la entidad (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,NA,1,NA,NA,NA
51,Historic Catch for Chihuahua,Chihuahua; Captura,SAGARPA,SAGARPA;CONAPeSCA,1,Chihuahua,Freshwater/Terrestrial,Freshwater/Terrestrial,Chihuahua,2004,2013,10,Weight,Year,State,Chihuahua: Serie Historica de la Produccion Pesquera de la entidad (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,NA,1,NA,NA,NA
52,Historic Catch for Durango,Durango; Captura,SAGARPA,SAGARPA;CONAPeSCA,1,Durango,Freshwater/Terrestrial,Freshwater/Terrestrial,Durango,2004,2013,10,Weight,Year,State,Durango: Serie Historica de la Produccion Pesquera de la entidad (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,NA,1,NA,NA,NA
53,Historic Catch for Guanajuato,Guanajuato; Captura,SAGARPA,SAGARPA;CONAPeSCA,1,Guanajuato,Freshwater/Terrestrial,Freshwater/Terrestrial,Guanajuato,2004,2013,10,Weight,Year,State,Guanajuato: Serie Historica de la Produccion Pesquera de la entidad (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,NA,1,NA,NA,NA
54,Historic Catch for Guerrero,Guerrero; Captura,SAGARPA,SAGARPA;CONAPeSCA,1,Guerrero,Pacific,South Pacific,Guerrero,2004,2013,10,Weight,Year,State,Guerrero: Serie Historica de la Produccion Pesquera de la entidad (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,NA,1,NA,NA,NA
55,Historic Catch for Hidalgo,Hidalgo; Captura,SAGARPA,SAGARPA;CONAPeSCA,1,Hidalgo,Freshwater/Terrestrial,Freshwater/Terrestrial,Hidalgo,2004,2013,10,Weight,Year,State,Hidalgo: Serie Historica de la Produccion Pesquera de la entidad (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,NA,1,NA,NA,NA
56,Historic Catch for Jalisco,Jalisco; Captura,SAGARPA,SAGARPA;CONAPeSCA,1,Jalisco,Pacific,South Pacific,Jalisco,2004,2013,10,Weight,Year,State,Jalisco: Serie Historica de la Produccion Pesquera de la entidad (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,NA,1,NA,NA,NA
